Year,Victoria,New South Wales,Northern Territory,Western Australia,Queensland,Australian Capital Territory,Tasmania,South Australia
2021,174,203,26,123,207,9,29,72
2020,211,284,31,154,277,7,36,93
2019,267,353,36,163,219,6,29,114
